id,category,split,query,gold_answer,candidates,candidate_ids,candidate_ranks,candidate_sources,target_need,target_actions,semantic_sufficiency,notes
023-b20260803-r2-0-00101-0-00101-q0,single-hop,train,What are the exact dates of the Paris trip mentioned in the conversations?,May 3rd to May 8th,Alex is planning a family trip to Paris in May.,"[""01KZ3M44YH60KD2XERK12FSBDN""]",[0],"[[""01KZ3M3Y637MBSP69ZK91EZM7Y""]]","{""entities"": [""Paris""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": {""kind"": ""entity"", ""entity"": ""Paris"", ""start"": null, ""end"": null, ""operand"": """", ""source_need"": ""entity:Paris""}}",[],pass,
023-b20260803-r2-0-00187-0-00187-q0,single-hop,train,When is Sarah's birthday?,April,"Alex is planning a surprise party for Sarah at their place. || Sarah, Alex's cousin, is visiting Paris during the trip. || Sarah is bringing her kids for the family gathering in Paris. || Sarah’s birthday is in April.","[""01KZ3Q658JJVCDMEJC57ECJJVX"", ""01KZ3Q658FY65AEAZT5MB7797W"", ""01KZ3Q658G4AEJV2TGDPR8YMMV"", ""01KZ3Q658JTADQB12F51Y6MGKY""]","[0, 1, 2, 3]","[[""01KZ3Q5XSETA4NE6XCK9EYPHMM""], [""01KZ3Q5XSD5Z3YYF6DQ8M8NBCD""], [""01KZ3Q5XSD5Z3YYF6DQ8M8NBCD""], [""01KZ3Q5XSDGNS1823BKBSPCCDH""]]","{""entities"": [""Sarah's""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": {""kind"": ""entity"", ""entity"": ""Sarah's"", ""start"": null, ""end"": null, ""operand"": """", ""source_need"": ""entity:Sarah's""}}",[],fail,gap漏标；应 KEEP 01KZ3Q658JTADQB12F51Y6MGKY，候选直接给出 April。
023-b20260803-r2-0-00106-0-00106-q0,single-hop,train,When is Lily's birthday party?,June 20th,"Alex's friend Mike's daughter, Lily, is having a birthday party on June 20th, 2026. || Alex's friend Mike's daughter, Lily, will host her birthday party at her house.","[""01KZ3M94CTD8GC65QNF2AYFPTT"", ""01KZ3M94CVBCFPB6MGBFYPYNVK""]","[0, 1]","[[""01KZ3M8RDDSG4MSB7AN76CM051""], [""01KZ3M8RDDSG4MSB7AN76CM051""]]","{""entities"": [""Lily's""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3M94CTD8GC65QNF2AYFPTT"", ""source_id"": ""01KZ3M8RDDSG4MSB7AN76CM051""}, {""kind"": ""KEEP"", ""candidate_id"": ""01KZ3M94CVBCFPB6MGBFYPYNVK"", ""source_id"": ""01KZ3M8RDDSG4MSB7AN76CM051""}]",pass,
023-b20260803-r2-0-00014-0-00014-q0,single-hop,train,When did Sam plan to have a prototype ready for his fault-tolerant network project by the end of January?,By next month,"Sam expects to have a prototype ready by early July. || Sam will test and refine the system based on the initial results of the prototype. || Debugging distributed systems is complex for Sam. || Implementing the state machine and the proposal phase in Paxos are challenging for Sam. || Sam expects to have a prototype of his fault-tolerant network project ready by next month. || Sam has begun adapting his protocol to standard networking interfaces. || Sam has completed an initial Raft implementation but is still working on Paxos. || Sam has decided to use a strict quorum system for the project. || Sam has spent about 80 hours on his thesis so far, spending 5 hours daily. || Sam has started experimenting with a hybrid approach to his distributed system. || Sam intends to integrate the chosen blockchain with the distributed database. || Sam intends to review blockchain technology thoroughly this week. || Sam is comparing Raft and Paxos algorithms in his thesis. || Sam is considering a hybrid approach to balance availability and partition tolerance while maintaining consistency. || Sam is considering using blockchain technology to ensure immutability and transparency. || Sam is developing a fault-tolerant network project focusing on consensus protocols, specifically testing Paxos and Raft. || Sam is facing difficulties with consistency protocols in his distributed system. || Sam is implementing a quorum-based approach to address data consistency issues. || Sam is planning to incorporate blockchain technology for enhanced data integrity. || Sam is working on a thesis about improving fault tolerance in distributed databases. || Sam is working on a thesis involving distributed systems and the CAP theorem. || Sam is working on the scalability of a new distributed database system. || Sam plans to use Ethereum for the blockchain integration due to its smart contract functionality and community support. || Sam was having trouble applying the CAP theorem to his system design. || The department expects a preliminary report from Sam by June 15th. || Understanding the theoretical underpinnings of Paxos has been challenging for Sam.","[""01KZ3GZSAYAT3S8P3RTGFSCRWK"", ""01KZ3GZSAZK14KSRK97F7N9FZ5"", ""01KZ3GZ7W9VRAGBHM44ZSVMCC6"", ""01KZ3H01YP3RNK25K56YYYM6J5"", ""01KZ3H01YRFDM5YJKJ38WBBTY5"", ""01KZ3H01YQ0PSWRVGFN0D82Y46"", ""01KZ3GZ7W731DRDYN3JNVD5Y7N"", ""01KZ3GZSATB6940JZB6CJZ58Y1"", ""01KZ3GZ7W86TAR1VK58SB2D490"", ""01KZ3H0FZZ3E8WAVKTXDKBX9VP"", ""01KZ3GZSAXMFX0RH6RFEDWAYW4"", ""01KZ3H0G01WXAPND6ZV3YTS73R"", ""01KZ3GZ7W6W922WM1K4N44DNB0"", ""01KZ3H0FZY7EAKHGMH76HF53HG"", ""01KZ3GZSAVHFGQV03MN897P0KH"", ""01KZ3H01YM0BSHZYPBTNRG3N9A"", ""01KZ3H0FZX2DNY77417XCVRZ62"", ""01KZ3GZSAR63VV07269ZPR88NK"", ""01KZ3H0G00EPBYQPJG5M15CHVS"", ""01KZ3GZ7W48AMREY0TN8TN2Z4V"", ""01KZ3H0FZVPN02TJ6WXP0YERT7"", ""01KZ3GZSAPQHAGC71T8REEBWHJ"", ""01KZ3GZSAWD6STHWG4J28NFH3M"", ""01KZ3H0FZYSMYCEBJNNN3Q85VC"", ""01KZ3GZ7WA24AWJWY2VRCN84V4"", ""01KZ3GZ7W9VX86HMTDDZ0GEA4X""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[[""01KZ3GZ7WCQCZ3JCKB6XT5Z2N8""], [""01KZ3GZ7WCQCZ3JCKB6XT5Z2N8""], [""01KZ3GYVWC7YN71Z512H115DD6""], [""01KZ3GZSB0BQZP5XQ6HR6A796X""], [""01KZ3GZSB1Q0MY8XA9XNQBHVVB""], [""01KZ3GZSB0N7PGNRXGJAV5RSB8""], [""01KZ3GYVWBCVYXNZZ4HP51E38B""], [""01KZ3GZ7WBH4D5P3RJZ05V43K5""], [""01KZ3GYVWCP9S8Z7TMSQASJVS6""], [""01KZ3H01YT3Z38EDECVA2KDFMF""], [""01KZ3GZ7WCJ5XRCKBS05EYBMZD""], [""01KZ3H01YT4RW4HAVTWA8W7KRK""], [""01KZ3GYVWBVK1AF5MTNY6P1GCA""], [""01KZ3H01YTP14P8J1CFTWNNW7M""], [""01KZ3GZ7WC9B47P1F36K3HFQB1""], [""01KZ3GZSB0VVC2D2FFP17Q2TD2""], [""01KZ3H01YS5ESXB9YSMHYQGTE9""], [""01KZ3GZ7WBMVJN82W50RJJVYEJ""], [""01KZ3H01YT6JV43PAPFFP2JWXJ""], [""01KZ3GYVWBNT7N6YRQH3XY8SDC""], [""01KZ3H01YSFC53G7687HGHS17Q""], [""01KZ3GZ7WB9D6MC252XS8QZQFV""], [""01KZ3GZ7WCJ5XRCKBS05EYBMZD""], [""01KZ3H01YS7J7MMBH7RRQBETBZ""], [""01KZ3GYVWCYV8YQ0F7XV735RD1""], [""01KZ3GYVWC7YN71Z512H115DD6""]]","{""entities"": [""January"", ""Sam""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": {""kind"": ""entity"", ""entity"": ""January"", ""start"": null, ""end"": null, ""operand"": """", ""source_need"": ""entity:January""}}",[],fail,gap漏标；应 KEEP 01KZ3H01YRFDM5YJKJ38WBBTY5，候选直接给出 by next month。
023-b20260803-r2-0-00070-0-00070-q0,single-hop,train,What is the date of Sarah's birthday?,March 28th,Alex and Sarah plan a small dinner at home for Sarah’s birthday. || Alex plans to take Sarah to a cozy French restaurant for her birthday. || Sarah loves cooking and wants to try authentic sushi and ramen. || Sarah’s birthday is on June 20th. || Sarah’s birthday is on March 28th.,"[""01KZ3K1RT8N4C7CZ3H9A5FXE78"", ""01KZ3K17CEMF0P3PSR1Q180ZVP"", ""01KZ3K1RTB31KB5MFWBJGVRVMN"", ""01KZ3K17CDEHW7TVJC6P9J3EY9"", ""01KZ3K1RT42GHFEFBWK6MASF6B""]","[0, 1, 2, 3, 4]","[[""01KZ3K1DBVVNQG8JSKGPDZW71E""], [""01KZ3K106VQ10MPYNAY46DC1YS""], [""01KZ3K1DBVVNQG8JSKGPDZW71E""], [""01KZ3K106VG7Y6ZK72R68TMXYX""], [""01KZ3K1DBVVNQG8JSKGPDZW71E""]]","{""entities"": [""Sarah's""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3K1RT8N4C7CZ3H9A5FXE78"", ""source_id"": ""01KZ3K1DBVVNQG8JSKGPDZW71E""}, {""kind"": ""KEEP"", ""candidate_id"": ""01KZ3K1RTB31KB5MFWBJGVRVMN"", ""source_id"": ""01KZ3K1DBVVNQG8JSKGPDZW71E""}, {""kind"": ""KEEP"", ""candidate_id"": ""01KZ3K1RT42GHFEFBWK6MASF6B"", ""source_id"": ""01KZ3K1DBVVNQG8JSKGPDZW71E""}]",pass,
023-b20260803-r2-0-00133-0-00133-q0,single-hop,train,When is Sarah's birthday according to the conversation?,April 27th,Sarah’s birthday is on 2026-04-27.,"[""01KZ3N74AXV01Y4DQ1TGPKC0C4""]",[0],"[[""01KZ3N6YE8WJF9SWMM09MBYCAS""]]","{""entities"": [""Sarah's""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3N74AXV01Y4DQ1TGPKC0C4"", ""source_id"": ""01KZ3N6YE8WJF9SWMM09MBYCAS""}]",pass,
023-b20260803-r2-0-00129-0-00129-q0,single-hop,train,What specific Linux distros does Dana plan to use for the development VMs?,Debian and Arch Linux,"After the upgrade, Dana noticed improved performance, especially with Docker containers. || Dana encountered a compatibility issue with the networking stack update and had to revert it. || Dana faced initial challenges with Kubernetes due to its steep learning curve. || Dana faced some issues during the reconfiguration of services after the server upgrade. || Dana had to reconfigure services like Nginx and PostgreSQL after the server upgrade. || Dana has monthly check-ins to review progress and plan for the next month. || Dana has updated the README file with more details on setting up the environment and added a troubleshooting section. || Dana identified the cause of the networking stack issue as a compatibility problem with the new firmware on one of her routers. || Dana integrates Trello and Jira with Git for version control. || Dana intends to start with a couple of Linux distros and a Windows 10 VM. || Dana is a software engineer. || Dana is considering adding a monitoring system using Prometheus and Grafana to her home-lab project. || Dana is considering Debian and Arch Linux for the dev VMs. || Dana is updating the firmware on her router to resolve the networking stack issue. || Dana is working on setting up a new server with Ubuntu 22.04. || Dana makes weekly updates to her projects. || Dana plans to add support for a new virtualization platform to her home-lab project after researching it. || Dana plans to set up virtual machines for development environments. || Dana plans to start installing Debian and Arch Linux over the weekend. || Dana started learning Docker about two years ago. || Dana tweaked the firewall rules more than expected during the server upgrade. || Dana updated the backup scripts to ensure they work with the new OS version after the server upgrade. || Dana upgraded the server to Ubuntu 26.04 LTS on 2026-01-21. || Dana uses Docker and Kubernetes for her home-lab project. || Dana uses Jira for tracking bugs and feature requests. || Dana uses Trello for task management.","[""01KZ3N3QGP07JBQS71H407RXA6"", ""01KZ3N3AZYZ7Q05WPB25FFQH3J"", ""01KZ3N2Q5M476P8YQ32AZQZDKC"", ""01KZ3N3QGXD6ZS11AB19TE0002"", ""01KZ3N3QGT6RWQR25QVAAB54T5"", ""01KZ3N2Q5VFGFFK2FP2D72VV1Y"", ""01KZ3N3B033Q4181H163JE48RA"", ""01KZ3N3B00V0F6S39E6FBEC2Y5"", ""01KZ3N2Q5R7M8V1NZS0FZ4EGJ9"", ""01KZ3N303YHTMMKVA26RMR3953"", ""01KZ3N2Q5EV35VRDJXTY888Q30"", ""01KZ3N3QH5ZXGDMM9HTV53DY1Q"", ""01KZ3N303ZFEQF58YA2VYT3CB8"", ""01KZ3N3B02ZWXG5MTA812KMVAM"", ""01KZ3N303VQ4ZTH0G8QK91K4N9"", ""01KZ3N2Q5T9FE9BCT9X0VFVN8H"", ""01KZ3N3B04YEQJMJ3P1WB8FE0E"", ""01KZ3N303XA7RD43MTYSMX3HR5"", ""01KZ3N303ZCS6H41G33D1X3DY3"", ""01KZ3N2Q5J61FDC3A0F8QW6C0E"", ""01KZ3N3QH03KKXZQ9R9BAV3YPQ"", ""01KZ3N3QH2CDVEB43RV9G18ERH"", ""01KZ3N3QGMNZR4WNHJHBFP7C11"", ""01KZ3N2Q5GZ9NJWTGF1E5QWKYX"", ""01KZ3N2Q5QTTGC76005MCSNNCF"", ""01KZ3N2Q5NRT78J5PJFJXSJAHQ""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[[""01KZ3N3B055HTS4T2P2FKFAFBJ"", ""01KZ3N3B05810QWYP7MDEMNJ46""], [""01KZ3N3040GKA5VMNN096QBNCA""], [""01KZ3N2BC3PPNDWGQZBD21P4SH""], [""01KZ3N3B0568QNJZCAG6JDKP8B""], [""01KZ3N3B055HTS4T2P2FKFAFBJ""], [""01KZ3N2BC5J022TSKMTAVEYR82""], [""01KZ3N3041XYR3XTSFT0HVJQMB""], [""01KZ3N3041BKR1ME47RR7XMGJ1""], [""01KZ3N2BC46VGN4VQ52QBBZP4V""], [""01KZ3N2Q5W59EQB9SGFAGJEXJJ""], [""01KZ3N2BC2KZYB3YEX20NV23CN""], [""01KZ3N3B06YZMC1GVQE4JPD1BX""], [""01KZ3N2Q5XYGF76HXRHDN8SMRH""], [""01KZ3N3041BKR1ME47RR7XMGJ1""], [""01KZ3N2Q5W8SHZAN9YYD59TKMB""], [""01KZ3N2BC5J022TSKMTAVEYR82""], [""01KZ3N3043NWE01RW0D9G9YDWZ""], [""01KZ3N2Q5W59EQB9SGFAGJEXJJ""], [""01KZ3N2Q5YATR01TY89JC4SY4G""], [""01KZ3N2BC3PPNDWGQZBD21P4SH""], [""01KZ3N3B057ZGM6B5BG5F93G56""], [""01KZ3N3B054Q7SZ48YF5E0QVWP"", ""01KZ3N3B06MB4MNNVEE5E9V5NP""], [""01KZ3N3B05810QWYP7MDEMNJ46""], [""01KZ3N2BC3B5MP7VCHXM98EJ8T""], [""01KZ3N2BC46VGN4VQ52QBBZP4V""], [""01KZ3N2BC46VGN4VQ52QBBZP4V""]]","{""entities"": [""Dana"", ""Linux"", ""VMs""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3N303ZFEQF58YA2VYT3CB8"", ""source_id"": ""01KZ3N2Q5XYGF76HXRHDN8SMRH""}, {""kind"": ""KEEP"", ""candidate_id"": ""01KZ3N303ZCS6H41G33D1X3DY3"", ""source_id"": ""01KZ3N2Q5YATR01TY89JC4SY4G""}]",pass,
023-b20260803-r2-0-00103-0-00103-q0,single-hop,train,What is the date of the wedding party booking for Mei's restaurant?,March 25th,"Mei booked a private room for a wedding on July 15th. || Mei ordered necessary linens and cutlery last week for the upcoming wedding. || A group of 20 will have a corporate lunch at the restaurant next Tuesday. || Mei buys meats from Meat Market. || Mei buys vegetables from Green Thumb Farms. || Mei expects around 100 guests for the event. || Mei has a big event planned for June 15, 2026. || Mei has a big reservation for a wedding party on March 25th. || Mei ordered fancy cheeses and truffles from the new supplier. || Mei plans to add more dishes based on customer feedback. || Mei received fresh ingredients from a new supplier in France this week. || Mei runs a restaurant called Bella Pasta in downtown. || Mei switched suppliers due to the previous supplier being late twice and having poor quality. || Mei uses Luigi’s Pasta Shop for fresh pasta. || Mei will book another supplier for specialty ingredients in early February. || The florist is confirming details for the upcoming wedding today. || The new menu items are selling well with many repeat orders. || The new supplier has been delivering ingredients exactly as needed. || The specialty ingredients will be needed by mid-March.","[""01KZ3M5VF4A8SP9T1275VGXJF0"", ""01KZ3M5VF6QXM616Z6TX6X5KXH"", ""01KZ3M5VF8CNN03NBRK1DM8402"", ""01KZ3M5K1AHPZSY6STFW25A997"", ""01KZ3M5K196TR72RA9KTPNBM24"", ""01KZ3M5K17BM7ZTCFQP68QFGTQ"", ""01KZ3M5K1549WAYR29YDHA7AGB"", ""01KZ3M648D5FS1JE623DEV00XJ"", ""01KZ3M648BF47PF3C1V5DSWHNN"", ""01KZ3M6E8W3T8QJCT9EE8W1MMX"", ""01KZ3M6489ZH09NEPV8WZFPK82"", ""01KZ3M5K13HYEGRM78P2XWAPAY"", ""01KZ3M6E8PTD8NFVJ0PX2TFEAA"", ""01KZ3M5K18VBEBCF0R3Z3QJEV6"", ""01KZ3M6E8X1WHK7S4ZNNDTVFBH"", ""01KZ3M5VF7ZY7FWSGDRTP2PZHS"", ""01KZ3M6E8VTZA14NEXQJ8GZ22Q"", ""01KZ3M6E8S3MQ8SVG97367VCHX"", ""01KZ3M6E8Y9YHHFBAR8M47EFCM""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[[""01KZ3M5K1B2SARWXAJGV5VRVA4""], [""01KZ3M5K1CW8TV2HB2CX60JEQR""], [""01KZ3M5K1CP558C665CMJVRQH8""], [""01KZ3M58BBTB5X915F4NKSS6DN""], [""01KZ3M58BBTB5X915F4NKSS6DN""], [""01KZ3M58BAQQMY24TECMJRF2ED""], [""01KZ3M58BA7C1EFMJ04MA283SR""], [""01KZ3M5VFASHZJJN28WNVX1C3G""], [""01KZ3M5VF9BA1FVG8XS5MP3RKK""], [""01KZ3M648GV4ZFVCV3NHHTKNSH""], [""01KZ3M5VF9GMHX06PPB2QW6WFM""], [""01KZ3M58B9VJFNQF6HC58HKAN5""], [""01KZ3M648FZ7TXEN5MH7KBTKBV""], [""01KZ3M58BBTB5X915F4NKSS6DN""], [""01KZ3M648GFEW7PTB19QER4EY1""], [""01KZ3M5K1CW8TV2HB2CX60JEQR""], [""01KZ3M648GV4ZFVCV3NHHTKNSH""], [""01KZ3M648F4NMF9RDRE8ERBKK8""], [""01KZ3M648GFEW7PTB19QER4EY1""]]","{""entities"": [""Mei's""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3M648D5FS1JE623DEV00XJ"", ""source_id"": ""01KZ3M5VFASHZJJN28WNVX1C3G""}]",pass,
023-b20260803-r2-0-00079-0-00079-q0,single-hop,train,What was the original target launch date for the QuickSync feature?,March 15th,Priya's team is launching a new feature called 'QuickSync' for their cloud storage service.,"[""01KZ3KAR1ETHRWZMKBV0CM8SAE""]",[0],"[[""01KZ3KACAXGBG2XAWTB0M8H2DM""]]","{""entities"": [""QuickSync""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": {""kind"": ""entity"", ""entity"": ""QuickSync"", ""start"": null, ""end"": null, ""operand"": """", ""source_need"": ""entity:QuickSync""}}",[],pass,
023-b20260803-r2-0-00127-0-00127-q0,single-hop,train,What is the target soft launch date for the InnovateX project?,August 2026,Alex is leading the design aspect of InnovateX. || InnovateX will focus on AI-driven analytics and a user-friendly interface for data visualization. || The project is called InnovateX and we're aiming for a soft launch in August 2026. || There are 15 core team members plus some external consultants working on InnovateX.,"[""01KZ3N089REFRYR9SE23A25YHP"", ""01KZ3N089PDVDP0NCDY7SP8G30"", ""01KZ3N089JY61BYQZG067X6GXW"", ""01KZ3N089MHBYJGCWW32TKN2NJ""]","[0, 1, 2, 3]","[[""01KZ3N02RPT2MA4390NZAMM7YW""], [""01KZ3N02RNK815CGN8HGX0EAYA""], [""01KZ3N02RKSTZ2AENGJDXSNG75""], [""01KZ3N02RMW89J1F21TNZA38VY""]]","{""entities"": [""InnovateX""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3N089JY61BYQZG067X6GXW"", ""source_id"": ""01KZ3N02RKSTZ2AENGJDXSNG75""}]",pass,
